offense,hfa,defense,ppa
Florida,0.0,Georgia,-0.327643773401219
Florida,0.0,Georgia,2.211424613960093
Florida,0.0,Georgia,-0.490975886965904
Florida,0.0,Georgia,0.7786343755176475
Florida,0.0,Georgia,-0.1686350677656265
Florida,0.0,Georgia,-0.3972581304738693
Georgia,0.0,Florida,1.20573673327592
Georgia,0.0,Florida,1.3903160147547258
Florida,0.0,Georgia,-0.07889451759108734
Georgia,0.0,Florida,0.8429281331999734
Georgia,0.0,Florida,-1.2322629476057028
Georgia,0.0,Florida,1.027168799198602
Georgia,0.0,Florida,0.512285959651141
Georgia,0.0,Florida,2.30195717327163
Florida,0.0,Georgia,-0.4238622892911614
Florida,0.0,Georgia,-0.6465431016104527
Georgia,0.0,Florida,0.575042778164864
Georgia,0.0,Florida,-0.226207639518348
Georgia,0.0,Florida,1.688190518713975
Florida,0.0,Georgia,2.2364939980730636
Florida,0.0,Georgia,0.2157312989593495
Florida,0.0,Georgia,-0.3794054612324495
Georgia,0.0,Florida,-0.28628930380234063
Georgia,0.0,Florida,1.3879401380356908
Georgia,0.0,Florida,0.3855228600463665
Georgia,0.0,Florida,-0.8939917757351061
Georgia,0.0,Florida,2.732844159758475
Georgia,0.0,Florida,-2.4340989153151504
Georgia,0.0,Florida,-1.3981581546484427
Georgia,0.0,Florida,-0.6717839246394793
Georgia,0.0,Florida,0.0716665963325501
Georgia,0.0,Florida,-0.8054618929806168
Florida,0.0,Georgia,0.7596462319529466
Georgia,0.0,Florida,-0.8380668403826874
Missouri,-1.0,South Carolina,-0.45260367932203766
Missouri,-1.0,South Carolina,0.01926363871681413
South Carolina,1.0,Missouri,0.1013807738833972
South Carolina,1.0,Missouri,-0.141734208558013
South Carolina,1.0,Missouri,-0.651589797484151
Missouri,-1.0,South Carolina,0.6947121105127749
Missouri,-1.0,South Carolina,0.1543932014679159
Missouri,-1.0,South Carolina,1.3755540761931897
Missouri,-1.0,South Carolina,1.291568451001769
Missouri,-1.0,South Carolina,-0.395458128988178
Missouri,-1.0,South Carolina,0.0748456356820665
Missouri,-1.0,South Carolina,-0.01693015803508
Missouri,-1.0,South Carolina,2.472179064388939
Missouri,-1.0,South Carolina,-0.0700258805898928
Missouri,-1.0,South Carolina,-0.35786821359060905
Missouri,-1.0,South Carolina,-0.07265511738922913
Missouri,-1.0,South Carolina,-0.2578378787201336
Missouri,-1.0,South Carolina,-0.016571396914132
Missouri,-1.0,South Carolina,1.900352237473006
South Carolina,1.0,Missouri,0.5413772358558367
South Carolina,1.0,Missouri,-0.7198200074736513
Missouri,-1.0,South Carolina,1.7167563891911968
Missouri,-1.0,South Carolina,0.6137678348706395
Missouri,-1.0,South Carolina,0.470063607577105
Missouri,-1.0,South Carolina,-0.333405670102768
South Carolina,1.0,Missouri,1.032445444437803
South Carolina,1.0,Missouri,0.2191024756905495
South Carolina,1.0,Missouri,-0.059449490714332
South Carolina,1.0,Missouri,0.156596895711566
South Carolina,1.0,Missouri,0.1798272470938045
South Carolina,1.0,Missouri,2.789647271242838
Missouri,-1.0,South Carolina,-0.5490975841390808
South Carolina,1.0,Missouri,-0.7029700220436519
South Carolina,1.0,Missouri,-0.15222912011238687
Missouri,-1.0,South Carolina,-0.766914583978803
Missouri,-1.0,South Carolina,1.168121180279117
Missouri,-1.0,South Carolina,-0.873884986133115
South Carolina,1.0,Missouri,-0.2808878686512184
South Carolina,1.0,Missouri,-0.147974471920322
Missouri,-1.0,South Carolina,-0.014840150532496
Missouri,-1.0,South Carolina,-0.232932636386652
Missouri,-1.0,South Carolina,-0.154746915333792
South Carolina,1.0,Missouri,-0.6861929923492786
South Carolina,1.0,Missouri,1.3728054942187364
Missouri,-1.0,South Carolina,0.8350381090299867
Missouri,-1.0,South Carolina,-0.244233951048855
Missouri,-1.0,South Carolina,0.20527425780596875
Missouri,-1.0,South Carolina,0.23085390261380653
Missouri,-1.0,South Carolina,0.7987441096809142
Missouri,-1.0,South Carolina,-0.0199773191908612
Missouri,-1.0,South Carolina,0.1043573190685727
Missouri,-1.0,South Carolina,-0.147245733234799
Missouri,-1.0,South Carolina,1.0884762072419605
Missouri,-1.0,South Carolina,0.110039551743057
Missouri,-1.0,South Carolina,-0.4440455940554653
Missouri,-1.0,South Carolina,-0.4404395188349701
South Carolina,1.0,Missouri,0.861988790870531
Missouri,-1.0,South Carolina,-2.6847335272851263
Missouri,-1.0,South Carolina,-1.0507010226376892
Missouri,-1.0,South Carolina,-0.17214313757224534
Tennessee,1.0,Kentucky,-0.1673002614345122
Kentucky,-1.0,Tennessee,-0.48436415563340685
Kentucky,-1.0,Tennessee,-0.22048200027874199
Tennessee,1.0,Kentucky,0.02707933000329898
Tennessee,1.0,Kentucky,0.00480981546542303
Kentucky,-1.0,Tennessee,0.6599378983160946
Kentucky,-1.0,Tennessee,0.0790402371080084
Kentucky,-1.0,Tennessee,0.200686479410363
Kentucky,-1.0,Tennessee,1.378557411398493
Kentucky,-1.0,Tennessee,2.211424613960093
Tennessee,1.0,Kentucky,0.604642460086338
Tennessee,1.0,Kentucky,0.6180966231701175
Tennessee,1.0,Kentucky,-0.6585104536675087
Tennessee,1.0,Kentucky,-0.3510134540888314
Tennessee,1.0,Kentucky,2.1901749772623065
Tennessee,1.0,Kentucky,-0.0672821190442117
Tennessee,1.0,Kentucky,0.4075740890256747
Tennessee,1.0,Kentucky,-0.0277001413248325
Tennessee,1.0,Kentucky,-0.2237715426565375
Tennessee,1.0,Kentucky,-0.144468303494547
Tennessee,1.0,Kentucky,0.603998977624942
Tennessee,1.0,Kentucky,-0.014339867883452
Tennessee,1.0,Kentucky,2.544830284062861
Kentucky,-1.0,Tennessee,-1.0146424556055624
Tennessee,1.0,Kentucky,0.090922002905697
Tennessee,1.0,Kentucky,3.0680264598069567
Tennessee,1.0,Kentucky,-0.264920444949746
Tennessee,1.0,Kentucky,1.900352237473006
Kentucky,-1.0,Tennessee,1.4161732815879784
Kentucky,-1.0,Tennessee,-0.6797853383066688
Kentucky,-1.0,Tennessee,-0.1408898471373875
Kentucky,-1.0,Tennessee,-0.4998094827553564
Kentucky,-1.0,Tennessee,0.6132566006686733
Kentucky,-1.0,Tennessee,-0.103053233199689
Kentucky,-1.0,Tennessee,-0.327630498967477
Tennessee,1.0,Kentucky,1.0621186897628077
Kentucky,-1.0,Tennessee,-0.25037105050665875
Kentucky,-1.0,Tennessee,0.7233416566647852
Kentucky,-1.0,Tennessee,-0.5233394759141161
Tennessee,1.0,Kentucky,-0.6717839246394793
Tennessee,1.0,Kentucky,0.4306935202571525
Tennessee,1.0,Kentucky,-0.048237147956765
Tennessee,1.0,Kentucky,0.204902156916407
Tennessee,1.0,Kentucky,0.18290098819408
Tennessee,1.0,Kentucky,-0.482466950768833
Tennessee,1.0,Kentucky,-0.4092569148923515
Kentucky,-1.0,Tennessee,-0.5874795431016855
Kentucky,-1.0,Tennessee,-0.2677195990543533
Tennessee,1.0,Kentucky,-0.4710097256430323
Tennessee,1.0,Kentucky,0.091694448764869
Tennessee,1.0,Kentucky,-0.357171386033373
Tennessee,1.0,Kentucky,2.676770954733065
Kentucky,-1.0,Tennessee,-0.45260367932203766
Tennessee,1.0,Kentucky,0.2800647464981001
Tennessee,1.0,Kentucky,0.4657682556003531
Tennessee,1.0,Kentucky,-0.1399034934597019
Tennessee,1.0,Kentucky,-0.3360886427150404
Tennessee,1.0,Kentucky,-0.1783739155405151
Kentucky,-1.0,Tennessee,-0.030123301046684148
Kentucky,-1.0,Tennessee,-0.275498224109028
Kentucky,-1.0,Tennessee,1.1127415828278746
Kentucky,-1.0,Tennessee,-0.4194703061271152
Kentucky,-1.0,Tennessee,-0.547828113258845
Kentucky,-1.0,Tennessee,-0.39947361572575707
Kentucky,-1.0,Tennessee,2.7167210439960066
Kentucky,-1.0,Tennessee,0.6049387793407243
Kentucky,-1.0,Tennessee,0.2670197930754715
Kentucky,-1.0,Tennessee,-0.9402299217519198
Kentucky,-1.0,Tennessee,-0.8136431510319184
Tennessee,1.0,Kentucky,-0.6903738736488947
Ole Miss,-1.0,Texas A&M,0.604642460086338
Ole Miss,-1.0,Texas A&M,-0.6276763220352857
Ole Miss,-1.0,Texas A&M,2.2593770495488963
Ole Miss,-1.0,Texas A&M,1.077397457982942
Ole Miss,-1.0,Texas A&M,0.496700750348529
Ole Miss,-1.0,Texas A&M,-0.324478985280689
Texas A&M,1.0,Ole Miss,0.4012419719961234
